"Retailer_ID","Store_Name","License_Application_Submitted_Date","License_Status","License_Number","License_Expiration_Date"
1,"Store_1",2020-10-24,"Issued","LIC1166",2025-06-12
2,"Store_2",2023-10-25,"Issued","LIC1202",2026-02-12
3,"Store_3",2024-01-26,"Pending","LIC1191",2025-10-11
4,"Store_4",2020-06-20,"Application Submitted","LIC1009",2026-07-26
5,"Store_5",2022-08-12,"Pending","LIC1171",2026-11-04
6,"Store_6",2023-05-02,"No Application","LIC1124",2026-06-12
7,"Store_7",2022-04-07,"Issued","LIC1070",NA
8,"Store_8",2023-07-22,"No Application","LIC1322",2026-04-29
9,"Store_9",2023-04-30,"Application Submitted","LIC1206",2025-09-02
10,"Store_10",2020-01-17,"Application Submitted","LIC1170",2025-12-04
11,"Store_11",2020-12-30,"Pending","LIC1149",2026-12-21
12,"Store_12",2023-08-18,"Pending","LIC1312",2025-09-25
13,"Store_13",2021-12-13,"No Application","LIC1353",2026-03-20
14,"Store_14",2021-01-26,"No Application","LIC1158",2025-07-09
15,"Store_15",2020-11-04,"Issued","LIC1094",2025-05-15
16,"Store_16",2023-06-14,"Pending","LIC1106",2025-03-20
17,"Store_17",NA,"Application Submitted","LIC1266",NA
18,"Store_18",NA,"No Application","LIC1202",2025-05-19
19,"Store_19",NA,"No Application","LIC1026",2025-09-05
20,"Store_20",2023-02-07,"Pending","LIC1227",2025-03-16
21,"Store_21",2021-03-15,"Pending","LIC1130",2025-01-28
22,"Store_22",NA,"No Application","LIC1141",2026-11-22
23,"Store_23",2020-09-09,"Pending","LIC1241",2026-06-01
24,"Store_24",2021-11-22,"Application Submitted","LIC1176",NA
25,"Store_25",2023-05-13,"Application Submitted","LIC1353",2026-10-19
26,"Store_26",2024-05-21,"Pending","LIC1396",2025-04-10
27,"Store_27",2023-02-07,"Application Submitted","LIC1014",2025-09-23
28,"Store_28",2023-08-08,"No Application","LIC1194",2026-12-27
29,"Store_29",2020-04-30,"Issued","LIC1381",2025-12-07
30,"Store_30",2024-05-23,"Issued","LIC1029",NA
31,"Store_31",2020-07-03,"No Application","LIC1402",2026-11-08
32,"Store_32",2021-12-21,"Issued","LIC1282",2025-10-04
33,"Store_33",2021-02-21,"Issued","LIC1015",2026-12-28
34,"Store_34",2021-10-18,"Issued","LIC1383",2025-12-02
35,"Store_35",2021-06-05,"No Application","LIC1395",2026-09-28
36,"Store_36",2021-10-05,"Pending","LIC1262",2026-06-21
37,"Store_37",2020-11-09,"Pending","LIC1279",NA
38,"Store_38",2020-08-25,"Issued","LIC1149",2026-01-26
39,"Store_39",2020-08-28,"Issued","LIC1191",2026-09-25
40,"Store_40",2021-11-29,"Application Submitted","LIC1379",2025-06-13
41,"Store_41",2022-11-21,"Issued","LIC1325",2026-03-15
42,"Store_42",2020-05-01,"Issued","LIC1044",2025-11-11
43,"Store_43",2024-05-23,"Pending","LIC1280",2026-02-17
44,"Store_44",2021-04-06,"Pending","LIC1082",2026-05-24
45,"Store_45",2020-12-20,"No Application","LIC1268",2026-12-23
46,"Store_46",2021-10-11,"Issued","LIC1011",2026-12-03
47,"Store_47",2021-04-14,"Pending","LIC1385",2026-01-02
48,"Store_48",2021-04-18,"Issued","LIC1228",2025-11-26
49,"Store_49",2020-05-12,"Issued","LIC1111",2025-03-03
50,"Store_50",2021-05-27,"Application Submitted","LIC1331",2026-08-13
51,"Store_51",2023-04-16,"No Application","LIC1102",NA
52,"Store_52",2025-01-12,"Pending","LIC1118",NA
53,"Store_53",2023-03-15,"Issued","LIC1158",2026-05-14
54,"Store_54",2020-11-25,"No Application","LIC1181",2026-02-17
55,"Store_55",2024-11-10,"Pending","LIC1232",2026-07-09
56,"Store_56",NA,"Issued","LIC1252",2025-05-23
57,"Store_57",2020-12-02,"Issued","LIC1009",2025-10-13
58,"Store_58",NA,"Pending","LIC1006",2026-05-28
59,"Store_59",2024-06-13,"Pending","LIC1209",2025-03-27
60,"Store_60",2024-02-03,"Pending","LIC1333",2025-06-02
61,"Store_61",NA,"Application Submitted","LIC1388",2026-03-26
62,"Store_62",2022-01-23,"Issued","LIC1392",2025-01-11
63,"Store_63",2023-07-17,"No Application","LIC1179",2026-04-26
64,"Store_64",2020-10-03,"Pending","LIC1088",2025-10-16
65,"Store_65",2022-07-27,"Pending","LIC1170",2025-11-17
66,"Store_66",2021-03-03,"Pending","LIC1066",2025-07-08
67,"Store_67",2022-04-24,"Pending","LIC1347",2025-10-24
68,"Store_68",2021-01-01,"Pending","LIC1016",2026-12-11
69,"Store_69",2022-01-18,"Application Submitted","LIC1136",2025-03-25
70,"Store_70",2025-03-01,"Issued","LIC1140",2025-01-22
71,"Store_71",2021-02-20,"Issued","LIC1200",2026-09-06
72,"Store_72",2021-05-22,"Issued","LIC1409",2026-05-24
73,"Store_73",2020-03-05,"Application Submitted","LIC1168",2025-06-08
74,"Store_74",2020-02-27,"Application Submitted","LIC1079",NA
75,"Store_75",2021-03-06,"Pending","LIC1331",2025-06-29
76,"Store_76",2023-04-27,"Application Submitted","LIC1377",2025-10-06
77,"Store_77",2024-02-03,"Issued","LIC1224",2026-07-10
78,"Store_78",2023-11-19,"Application Submitted","LIC1324",2025-08-31
79,"Store_79",2020-12-06,"Issued","LIC1124",2025-06-21
80,"Store_80",2024-06-14,"Application Submitted","LIC1337",2025-08-07
81,"Store_81",2023-10-12,"No Application","LIC1138",2025-06-29
82,"Store_82",2022-06-17,"Application Submitted","LIC1325",2025-06-20
83,"Store_83",2024-08-24,"No Application","LIC1298",2026-05-06
84,"Store_84",2023-11-20,"Issued","LIC1238",2025-05-14
85,"Store_85",2022-07-04,"No Application","LIC1273",NA
86,"Store_86",2022-10-19,"Pending","LIC1305",2025-10-22
87,"Store_87",2025-01-24,"Application Submitted","LIC1097",2025-09-24
88,"Store_88",NA,"Pending","LIC1355",2025-03-15
89,"Store_89",2025-01-27,"Issued","LIC1138",2025-12-18
90,"Store_90",2021-11-08,"No Application","LIC1390",2026-06-12
91,"Store_91",2022-02-05,"No Application","LIC1017",2025-10-27
92,"Store_92",2021-12-11,"Issued","LIC1313",2026-04-15
93,"Store_93",2023-08-08,"No Application","LIC1243",NA
94,"Store_94",2020-09-11,"Pending","LIC1023",2025-05-27
95,"Store_95",2022-09-28,"Application Submitted","LIC1081",2026-02-12
96,"Store_96",2024-02-23,"Pending","LIC1210",2025-01-05
97,"Store_97",NA,"Application Submitted","LIC1107",2026-10-01
98,"Store_98",2024-01-09,"No Application","LIC1340",2025-10-12
99,"Store_99",2024-07-29,"No Application","LIC1306",NA
100,"Store_100",2023-03-11,"Issued","LIC1063",2025-08-15
101,"Store_101",2021-11-27,"Pending","LIC1362",2026-05-05
102,"Store_102",2023-09-03,"Pending","LIC1344",2025-06-14
103,"Store_103",2024-04-11,"No Application","LIC1030",2025-01-09
104,"Store_104",2022-06-08,"Pending","LIC1234",2025-04-13
105,"Store_105",2021-05-24,"Pending","LIC1233",2026-08-28
